Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Avery Singer Title Untitled,Untitled (Wednesday),acrylic on canvas mounted on panel,2017,85,95.2,215.9,241.9,Sotheby's New York,"Thursday, November 21, 2024",00503,"200,000 - 300,000 USD",Bought In
Avery Singer Title Bust,Bust 爆裂,acrylic on wooden panel,2012,,,,,Sotheby's Hong Kong,"Tuesday, November 12, 2024",00137,"800,000 - 1,200,000 HKD (102,847 - 154,271 USD)","600,000 HKD (77,135 USD)"
Avery Singer Title Mirror Study Description DETAILSAVERY SINGER,Mirror Study,acrylic on wooden panel,2014,18.1,24,46,61,Christie's Hong Kong,"Saturday, November 9, 2024",00125,"300,000 - 500,000 HKD (38,588 - 64,313 USD)","441,000 HKD (56,724 USD)"
Avery Singer Title Untitled,Untitled (Study),acrylic on gessoed board,2016,30,38.8,76.2,98.5,Sotheby's London,"Thursday, October 10, 2024",00151,"20,000 - 30,000 GBP (26,106 - 39,159 USD)",Bought In
Avery Singer Title Untitled Description DETAILSAVERY SINGER,Untitled,acrylic on paper,2016,30,40,76.2,101.6,Christie's New York,"Tuesday, October 1, 2024",00402,"40,000 - 60,000 USD",Bought In
Avery Singer Title Untitled Description Avery SingerUntitledsigned and dated,Untitled,acrylic on Masonite,2016,30,38.7,76.2,98.4,Phillips New York,"Wednesday, September 25, 2024",00172,"30,000 - 50,000 USD","40,640 USD"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas mounted on panel,2016,78,61.3,198,155.6,Christie's New York,"Friday, May 17, 2024",00327,"800,000 - 1,200,000 USD","1,008,000 USD"
Avery Singer Title Happening Description Avery Singerb,Happening,acrylic on canvas,2013,100,120,254,304.8,Sotheby's New York,"Monday, May 13, 2024",00014,"2,500,000 - 3,500,000 USD","3,206,000 USD"
Avery Singer Title Untitled,Untitled 無題,acrylic on paper,2016,19,24,48.2,61,Sotheby's Hong Kong,"Saturday, April 6, 2024",00810,"400,000 - 600,000 HKD (51,092 - 76,638 USD)",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on smooth plate paper,2016,10.7,13.8,27.2,35,Christie's Online,"Tuesday, April 2, 2024",00030,"180,000 - 280,000 HKD (22,992 - 35,765 USD)","189,000 HKD (24,141 USD)"
Avery Singer Title Prada Mask Description DETAILSAVERY SINGER,Prada Mask,acrylic on canvas stretched over wood panel,2012,36.1,36.1,91.7,91.6,Christie's Hong Kong,"Wednesday, November 29, 2023",00320,"250,000 - 350,000 HKD (32,028 - 44,839 USD)","693,000 HKD (88,782 USD)"
Avery Singer Title Untitled Description DETAILSAVERY SINGER,Untitled,acrylic on canvas,2017,78,61,198.1,154.9,Christie's Hong Kong,"Tuesday, November 28, 2023",00090,"11,000,000 - 18,000,000 HKD (1,410,726 - 2,308,461 USD)","13,685,000 HKD (1,755,072 USD)"
Avery Singer Title Figure Reclining with iPhone Description AVERY SINGER,Figure Reclining with iPhone,acrylic on paper,2011,40.2,28.7,102,73,Christie's New York,"Friday, September 29, 2023",00305,"100,000 - 150,000 USD","100,800 USD"
Avery Singer Title Avery Singer Description Avery Singerb,Avery Singer,acrylic on Masonite,2016,30,38.9,76.2,98.7,Sotheby's New York,"Thursday, September 28, 2023",00282,"80,000 - 120,000 USD",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas,2016,80,90,203.2,228.6,Christie's Hong Kong,"Sunday, May 28, 2023",00005,"15,000,000 - 20,000,000 HKD (1,914,926 - 2,553,235 USD)","31,835,000 HKD (4,064,111 USD)"
Avery Singer Title Cycladic Mask Description AVERY SINGER,Cycladic Mask,acrylic on Masonite,2011,36,36,91.4,91.4,Christie's New York,"Friday, May 12, 2023",00270,"120,000 - 180,000 USD",Bought In
Avery Singer Title Bust,Bust 爆裂,acrylic on wooden panel,2012,36,36,91.5,91.5,Sotheby's Hong Kong,"Thursday, April 6, 2023",00557,"1,500,000 - 2,500,000 HKD (191,080 - 318,467 USD)",Bought In
Avery Singer Title Prada Mask Description Lot,Prada Mask,acrylic on board,2012,36.1,36.1,91.7,91.7,Sotheby's New York,"Thursday, March 9, 2023",00005,"200,000 - 300,000 USD",Bought In
Avery Singer Title,灰⽴⽅,acrylic on paper,2016,10.8,13.9,27.5,35.2,Cuppar Auction,"Thursday, January 5, 2023",00342,"320,000 - 420,000 CNY (46,498 - 61,028 USD)","380,000 CNY (55,216 USD)"
Avery Singer Title Untitled Description AVERY SIGNER,Untitled,acrylic on canvas stretched over wood panel,2018,40,45,101.6,114.3,Christie's Hong Kong,"Thursday, December 1, 2022",00322,"2,000,000 - 4,000,000 HKD (257,142 - 514,284 USD)",Bought In
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on plate paper,2016,40,29.9,101.5,76,Christie's Hong Kong,"Thursday, December 1, 2022",00324,"700,000 - 900,000 HKD (89,999 - 115,713 USD)","945,000 HKD (121,499 USD)"
Avery Singer Title The Great Muses Description AVERY SINGER,The Great Muses,acrylic on canvas,2013,86.6,77.2,220,196,Christie's Hong Kong,"Wednesday, November 30, 2022",00090,"20,000,000 - 30,000,000 HKD (2,562,460 - 3,843,690 USD)","23,250,000 HKD (2,978,859 USD)"
Avery Singer Title Kundry Description Property from an Important Private CollectionAvery Singerb,Kundry,acrylic on canvas,2018,95,85,241.3,215.9,Sotheby's New York,"Wednesday, November 16, 2022",00007,"1,800,000 - 2,500,000 USD","2,107,000 USD"
Avery Singer Title Ise Gropius Description Avery SingerIse Gropiussigned and dated,Ise Gropius,acrylic on panel,2011,36,36,91.4,91.4,Phillips New York,"Wednesday, November 16, 2022",00320,"200,000 - 300,000 USD",Bought In
Avery Singer Title Untitled Description Avery SingerUntitledsigned,Untitled,acrylic on canvas,2015,77.1,61.3,195.9,155.6,Phillips New York,"Tuesday, November 15, 2022",00004,"1,500,000 - 2,000,000 USD","1,724,000 USD"
Avery Singer Title Untitled Description Avery Singerb,Untitled,acrylic on canvas,2016,79.9,90.2,203,229,Sotheby's London,"Friday, October 14, 2022",00012,"800,000 - 1,200,000 GBP (974,896 - 1,462,344 USD)",Withdrawn
Avery Singer Title S,S&M Cruisline,graphite on paper,2011,18.8,23.9,47.8,60.8,Phillips London,"Wednesday, July 13, 2022",00009,"10,000 - 12,000 GBP (11,917 - 14,301 USD)","18,900 GBP (22,524 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas,2017,39.8,29.9,101,76,Christie's Hong Kong,"Friday, May 27, 2022",00139,"700,000 - 1,500,000 HKD (89,177 - 191,094 USD)","2,016,000 HKD (256,831 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on paper,2016,18.9,24,48,61,Christie's Hong Kong,"Friday, May 27, 2022",00138,"300,000 - 500,000 HKD (38,219 - 63,698 USD)","756,000 HKD (96,311 USD)"
Avery Singer Title Untitled Description AVERY SINGER,Untitled,acrylic on canvas laid on wood panel,2017,78.3,61.4,199,156,Christie's Hong Kong,"Thursday, May 26, 2022",00006,"10,000,000 - 15,000,000 HKD (1,273,901 - 1,910,852 USD)","22,050,000 HKD (2,808,953 USD)"
Avery Singer Title Mirror Study Description Avery Singerb,Mirror Study,acrylic on wood panel,2014,18.1,24,46,61,Sotheby's New York,"Friday, May 20, 2022",00409,"100,000 - 150,000 USD","170,100 USD"
Avery Singer Title Bust Description Avery Singerb,Bust,acrylic on wood,2012,36,36,91.5,91.5,Sotheby's New York,"Friday, May 20, 2022",00438,"180,000 - 250,000 USD","252,000 USD"
Avery Singer Title Happening Description Avery Singer,Happening,acrylic on canvas,2014,100,120,254,304.8,Sotheby's New York,"Thursday, May 19, 2022",00006,"2,500,000 - 3,500,000 USD","5,253,000 USD"
Avery Singer Title Prada Mask Description signed and dated,Prada Mask,acrylic on board,2012,36.1,36.1,91.7,91.6,Phillips London,"Friday, March 4, 2022",00114,"150,000 - 200,000 GBP (198,176 - 264,235 USD)","252,000 GBP (332,936 USD)"
Avery Singer Title S,S&M Cruisline,graphite on paper,2011,18.9,24,48,61,Phillips London,"Thursday, December 9, 2021",00052,"15,000 - 20,000 GBP (19,783 - 26,378 USD)",Bought In
Avery Singer Title Untitled,Untitled (Tuesday),acrylic on canvas laid on wood panel,2017,85,95.2,215.9,241.9,Christie's Hong Kong,"Wednesday, December 1, 2021",00027,"16,000,000 - 26,000,000 HKD (2,053,546 - 3,337,012 USD)","35,050,000 HKD (4,498,549 USD)"
Avery Singer Title Untitled Description Avery Singerb,Untitled,acrylic on gessoed board on canvas,2018,40,45,101.6,114.3,Sotheby's New York,"Friday, November 19, 2021",00409,"150,000 - 200,000 USD","315,000 USD"
Avery Singer Title Untitled,Untitled (AS/M 16-36/U),acrylic on Masonite,2016,39.4,30.1,100,76.5,Phillips New York,"Thursday, November 18, 2021",00310,"100,000 - 150,000 USD","113,400 USD"
Avery Singer Title European Ego Ideal Description acrylic on canvas,European Ego Ideal,acrylic on canvas,2014,100,120,254,304.8,Phillips New York,"Wednesday, November 17, 2021",00021,"1,500,000 - 2,500,000 USD","4,023,000 USD"
Avery Singer Title Figures Fucking Description AVERY SINGER,Figures Fucking,acrylic on paper,2011,19.1,24,48.5,61,Christie's New York,"Friday, November 12, 2021",00103,"100,000 - 150,000 USD","187,500 USD"
Avery Singer Title Japanese Helmet Stand Description AVERY SINGER,Japanese Helmet Stand,acrylic on paper,2011,40,28.7,101.5,73,Christie's London,"Saturday, October 16, 2021",00103,"100,000 - 150,000 GBP (137,174 - 205,761 USD)","175,000 GBP (240,054 USD)"
Avery Singer Title Untitled Description signed and dated,Untitled,acrylic on canvas stretched over wood panel,2018,40.1,45.1,101.9,114.5,Phillips London,"Friday, October 15, 2021",00021,"150,000 - 200,000 GBP (206,355 - 275,141 USD)","403,200 GBP (554,684 USD)"
Avery Singer Title Untitled,Untitled (Study),acrylic on gessoed board,2016,30,38.8,76.2,98.5,Sotheby's London,"Thursday, October 14, 2021",00003,"150,000 - 200,000 GBP (205,282 - 273,710 USD)","252,000 GBP (344,874 USD)"
